rank	word	freq	n_utts	n_speakers	len_chars	cleaned_form	has_non_devanagari	non_devanagari_chars
15486	व्याख्यान	4	4	4	9	व्याख्यान	no	
15487	व्यापकता	4	4	4	8	व्यापकता	no	
15488	व्यापारिक	4	4	4	9	व्यापारिक	no	
15489	व्यापारीले	4	4	4	10	व्यापारीले	no	
15490	व्यावसाय	4	4	4	8	व्यावसाय	no	
15491	व्यासी	4	4	4	6	व्यासी	no	
15492	व्यासीका	4	4	4	8	व्यासीका	no	
15493	व्रिद्रोहको	4	4	4	11	व्रिद्रोहको	no	
15494	व्हेल	4	4	4	5	व्हेल	no	
15495	शकुन्तलाका	4	4	4	10	शकुन्तलाका	no	
15496	शक्तिवर्धक	4	4	4	10	शक्तिवर्धक	no	
15497	शङ्कराचार्यलाई	4	4	3	14	शङ्कराचार्यलाई	no	
15498	शताब्दीदेखि	4	4	4	11	शताब्दीदेखि	no	
15499	शताब्दीभित्रका	4	4	4	14	शताब्दीभित्रका	no	
15500	शनिश्चर	4	4	4	7	शनिश्चर	no	
15501	शब्दहरूले	4	4	4	9	शब्दहरूले	no	
15502	शब्दार्थ	4	4	4	8	शब्दार्थ	no	
15503	शमशेर	4	4	4	5	शमशेर	no	
15504	शमशेरजस्तै	4	4	4	10	शमशेरजस्तै	no	
15505	शम्भुराम	4	4	4	8	शम्भुराम	no	
15506	शरीरभन्दा	4	4	4	9	शरीरभन्दा	no	
15507	शव	4	4	4	2	शव	no	
15508	शहीद	4	4	4	4	शहीद	no	
15509	शाकुन्तलममा	4	4	4	11	शाकुन्तलममा	no	
15510	शाक्त	4	4	4	5	शाक्त	no	
15511	शाश्वत	4	4	4	6	शाश्वत	no	
15512	शासनतन्त्र	4	4	4	10	शासनतन्त्र	no	
15513	शासनबाट	4	4	4	7	शासनबाट	no	
15514	शास्त्रको	4	4	4	9	शास्त्रको	no	
15515	शास्त्रहरूमा	4	4	4	12	शास्त्रहरूमा	no	
15516	शाहजहाँले	4	4	4	9	शाहजहाँले	no	
15517	शिक्षाविद्	4	4	4	10	शिक्षाविद्	no	
15518	शिक्षिका	4	4	4	8	शिक्षिका	no	
15519	शिला	4	4	4	4	शिला	no	
15520	शिलान्यास	4	4	4	9	शिलान्यास	no	
15521	शिलालेखलाई	4	4	4	10	शिलालेखलाई	no	
15522	शिवजी	4	4	4	5	शिवजी	no	
15523	शिवजीको	4	4	4	7	शिवजीको	no	
15524	शिवपार्वती	4	4	4	10	शिवपार्वती	no	
15525	शिवरात्रीमा	4	4	4	11	शिवरात्रीमा	no	
15526	शीर्षकहरूमा	4	4	4	11	शीर्षकहरूमा	no	
15527	शीर्षस्थानमा	4	4	4	12	शीर्षस्थानमा	no	
15528	शुक्रबारको	4	4	4	10	शुक्रबारको	no	
15529	शुद्धलेखनको	4	4	4	11	शुद्धलेखनको	no	
15530	शुभकामनाले	4	4	4	10	शुभकामनाले	no	
15531	शुरु	4	4	4	4	शुरु	no	
15532	शेर्पाका	4	4	4	8	शेर्पाका	no	
15533	शेर्पाहरूका	4	4	4	11	शेर्पाहरूका	no	
15534	शेशी	4	4	4	4	शेशी	no	
15535	शैलीलाई	4	4	4	7	शैलीलाई	no	
15536	शोधकार्य	4	4	4	8	शोधकार्य	no	
15537	शोमा	4	4	4	4	शोमा	no	
15538	श्रावणदेखि	4	4	4	10	श्रावणदेखि	no	
15539	श्रीनगरदेखि	4	4	4	11	श्रीनगरदेखि	no	
15540	श्रीलङ्काको	4	4	4	11	श्रीलङ्काको	no	
15541	श्रीलङ्कातिर	4	4	4	12	श्रीलङ्कातिर	no	
15542	श्रीलङ्कामा	4	4	4	11	श्रीलङ्कामा	no	
15543	श्रीहरिको	4	4	4	9	श्रीहरिको	no	
15544	श्रृङ्खलाका	4	4	4	11	श्रृङ्खलाका	no	
15545	श्रेणीका	4	4	4	8	श्रेणीका	no	
15546	श्रेणीहरू	4	4	4	9	श्रेणीहरू	no	
15547	श्रेणीहरूले	4	4	4	11	श्रेणीहरूले	no	
15548	श्रेष्ठजी	4	4	4	9	श्रेष्ठजी	no	
15549	श्रेष्ठतम	4	4	4	9	श्रेष्ठतम	no	
15550	श्रेष्ठमा	4	4	4	9	श्रेष्ठमा	no	
15551	श्लोकहरू	4	4	4	8	श्लोकहरू	no	
15552	सँगालो	4	4	4	6	सँगालो	no	
15553	सँधै	4	4	4	4	सँधै	no	
15554	संक्षेपमा	4	4	4	9	संक्षेपमा	no	
15555	संगठनका	4	4	4	7	संगठनका	no	
15556	संगीतबाट	4	4	4	8	संगीतबाट	no	
15557	संग्रहित	4	4	4	8	संग्रहित	no	
15558	संरक्षणको	4	4	4	9	संरक्षणको	no	
15559	संरक्षित	4	4	4	8	संरक्षित	no	
15560	संरचनाहरूलाई	4	4	4	12	संरचनाहरूलाई	no	
15561	संसदका	4	4	4	6	संसदका	no	
15562	संसारमै	4	4	4	7	संसारमै	no	
15563	संसारलाई	4	4	4	8	संसारलाई	no	
15564	संस्कृतिका	4	4	4	10	संस्कृतिका	no	
15565	संहितामा	4	4	4	8	संहितामा	no	
15566	सकिएपछि	4	4	4	7	सकिएपछि	no	
15567	सकी	4	4	4	3	सकी	no	
15568	सकेर	4	4	4	4	सकेर	no	
15569	सक्दा	4	4	4	5	सक्दा	no	
15570	सक्दैनथे	4	4	4	8	सक्दैनथे	no	
15571	सक्रियताले	4	4	4	10	सक्रियताले	no	
15572	सक्सिड	4	4	4	6	सक्सिड	no	
15573	सखर	4	4	4	3	सखर	no	
15574	सगरमाथालाई	4	4	4	10	सगरमाथालाई	no	
15575	सङ्कटबाट	4	4	4	8	सङ्कटबाट	no	
15576	सङ्ख्याहरूका	4	4	4	12	सङ्ख्याहरूका	no	
15577	सङ्गठनहरूको	4	4	4	11	सङ्गठनहरूको	no	
15578	सङ्गीतकार	4	4	4	9	सङ्गीतकार	no	
15579	सङ्ग्रहहरू	4	4	4	10	सङ्ग्रहहरू	no	
15580	सङ्ग्रहित	4	4	4	9	सङ्ग्रहित	no	
15581	सङ्ग्रामको	4	4	4	10	सङ्ग्रामको	no	
15582	सङ्घबाट	4	4	4	7	सङ्घबाट	no	
15583	सङ्घर्षमय	4	4	4	9	सङ्घर्षमय	no	
15584	सङ्घर्षशील	4	4	4	10	सङ्घर्षशील	no	
15585	सङ्घीयता	4	4	4	8	सङ्घीयता	no	
15586	सङ्लो	4	4	3	5	सङ्लो	no	
15587	सचिवको	4	4	4	6	सचिवको	no	
15588	सच्याउनको	4	4	4	9	सच्याउनको	no	
15589	सजाइएको	4	4	4	7	सजाइएको	no	
15590	सजायको	4	4	4	6	सजायको	no	
15591	सजावट	4	4	4	5	सजावट	no	
15592	सजिएको	4	4	4	6	सजिएको	no	
15593	सञ्चयकोष	4	4	4	8	सञ्चयकोष	no	
15594	सञ्चारका	4	4	4	8	सञ्चारका	no	
15595	सञ्जालमा	4	4	4	8	सञ्जालमा	no	
15596	सटल	4	4	4	3	सटल	no	
15597	सतगुरूको	4	4	4	8	सतगुरूको	no	
15598	सतही	4	4	4	4	सतही	no	
15599	सत्तामाथि	4	4	4	9	सत्तामाथि	no	
15600	सदरमुकामदेखि	4	4	4	12	सदरमुकामदेखि	no	
15601	सदाकत	4	4	4	5	सदाकत	no	
15602	सद्भाव	4	4	4	6	सद्भाव	no	
15603	सधा	4	4	4	3	सधा	no	
15604	सधैँका	4	4	4	6	सधैँका	no	
15605	सनबर्ड	4	4	4	6	सनबर्ड	no	
15606	सन्तानमा	4	4	4	8	सन्तानमा	no	
15607	सन्दीप	4	4	4	6	सन्दीप	no	
15608	सप्तरीमा	4	4	4	8	सप्तरीमा	no	
15609	सप्तशतीको	4	4	4	9	सप्तशतीको	no	
15610	सप्ताहको	4	4	4	8	सप्ताहको	no	
15611	सफलतापछि	4	4	4	8	सफलतापछि	no	
15612	सबबाट	4	4	4	5	सबबाट	no	
15613	सबेरै	4	4	4	5	सबेरै	no	
15614	सबैकुरा	4	4	4	7	सबैकुरा	no	
15615	सबैमाथि	4	4	4	7	सबैमाथि	no	
15616	सब्जीको	4	4	4	7	सब्जीको	no	
15617	सभ्यतासँग	4	4	4	9	सभ्यतासँग	no	
15618	समझदारी	4	4	4	7	समझदारी	no	
15619	समद्वारा	4	4	4	8	समद्वारा	no	
15620	समन्वयको	4	4	4	8	समन्वयको	no	
15621	समयभन्दा	4	4	4	8	समयभन्दा	no	
15622	समयावधि	4	4	4	7	समयावधि	no	
15623	समयावधिलाई	4	4	4	10	समयावधिलाई	no	
15624	समस्याबाट	4	4	4	9	समस्याबाट	no	
15625	समाउने	4	4	4	6	समाउने	no	
15626	समाजबाट	4	4	4	7	समाजबाट	no	
15627	समाजले	4	4	3	6	समाजले	no	
15628	समाजवादको	4	4	4	9	समाजवादको	no	
15629	समाजशास्त्रीय	4	4	4	13	समाजशास्त्रीय	no	
15630	समाजहरू	4	4	4	7	समाजहरू	no	
15631	समाजहरूले	4	4	4	9	समाजहरूले	no	
15632	समाती	4	4	4	5	समाती	no	
15633	समात्न	4	4	4	6	समात्न	no	
15634	समात्ने	4	4	4	7	समात्ने	no	
15635	समानताको	4	4	4	8	समानताको	no	
15636	समालोचनाका	4	4	3	10	समालोचनाका	no	
15637	समावेशी	4	4	4	7	समावेशी	no	
15638	समितिकी	4	4	4	7	समितिकी	no	
15639	समीक्षण	4	4	4	7	समीक्षण	no	
15640	समीक्षामा	4	4	4	9	समीक्षामा	no	
15641	समुदायहरू	4	4	4	9	समुदायहरू	no	
15642	समुन्द्र	4	4	4	8	समुन्द्र	no	
15643	समुन्द्रमा	4	4	4	10	समुन्द्रमा	no	
15644	समूहबाट	4	4	4	7	समूहबाट	no	
15645	समूहमध्ये	4	4	4	9	समूहमध्ये	no	
15646	समूहहरूमा	4	4	4	9	समूहहरूमा	no	
15647	समेट्न	4	4	4	6	समेट्न	no	
15648	सम्झनामा	4	4	4	8	सम्झनामा	no	
15649	सम्झिन	4	4	4	6	सम्झिन	no	
15650	सम्झी	4	4	4	5	सम्झी	no	
15651	सम्पतिलाई	4	4	4	9	सम्पतिलाई	no	
15652	सम्पदाहरूको	4	4	4	11	सम्पदाहरूको	no	
15653	सम्पादकले	4	4	4	9	सम्पादकले	no	
15654	सम्भावनाहरू	4	4	4	11	सम्भावनाहरू	no	
15655	सम्भावनाहरूको	4	4	4	13	सम्भावनाहरूको	no	
15656	सम्मेलनका	4	4	4	9	सम्मेलनका	no	
15657	सम्शेरको	4	4	4	8	सम्शेरको	no	
15658	सम्हाले	4	4	4	7	सम्हाले	no	
15659	सरकारहरूद्वारा	4	4	4	14	सरकारहरूद्वारा	no	
15660	सरले	4	4	4	4	सरले	no	
15661	सरोजले	4	4	4	6	सरोजले	no	
15662	सर्जन	4	3	3	5	सर्जन	no	
15663	सर्त	4	4	4	4	सर्त	no	
15664	सर्नुपर्ने	4	4	4	10	सर्नुपर्ने	no	
15665	सर्व	4	4	4	4	सर्व	no	
15666	सलामि	4	4	4	5	सलामि	no	
15667	सल्तनतको	4	4	4	8	सल्तनतको	no	
15668	सल्यानकोटमा	4	4	4	11	सल्यानकोटमा	no	
15669	सल्लाहका	4	4	4	8	सल्लाहका	no	
15670	सल्लेधारा	4	4	4	9	सल्लेधारा	no	
15671	सवा	4	4	4	3	सवा	no	
15672	सवालको	4	4	4	6	सवालको	no	
15673	सविस्तार	4	4	4	8	सविस्तार	no	
15674	सशङ्कित	4	4	4	7	सशङ्कित	no	
15675	सह	4	4	4	2	सह	no	
15676	सहकमान्डर	4	4	4	9	सहकमान्डर	no	
15677	सहकर्मीले	4	4	4	9	सहकर्मीले	no	
15678	सहगायक	4	4	3	6	सहगायक	no	
15679	सहयोगीहरूले	4	4	4	11	सहयोगीहरूले	no	
15680	सहरहरूबाट	4	4	4	9	सहरहरूबाट	no	
15681	सहरहरूमध्येको	4	4	4	13	सहरहरूमध्येको	no	
15682	साँखु	4	4	4	5	साँखु	no	
15683	साँगाचोक	4	4	4	8	साँगाचोक	no	
15684	साँढे	4	4	4	5	साँढे	no	
15685	साँध	4	4	4	4	साँध	no	
15686	साइड	4	4	4	4	साइड	no	
15687	साइन	4	4	4	4	साइन	no	
15688	साइन्ससम्बन्धी	4	4	4	14	साइन्ससम्बन्धी	no	
15689	साइबर	4	4	4	5	साइबर	no	
15690	साक्षरताको	4	4	4	10	साक्षरताको	no	
15691	सागरका	4	4	4	6	सागरका	no	
15692	सागरदेखि	4	4	4	8	सागरदेखि	no	
15693	साडी	4	4	4	4	साडी	no	
15694	साथीको	4	4	4	6	साथीको	no	
15695	साथीहरूमा	4	4	4	9	साथीहरूमा	no	
15696	सानोभन्दा	4	4	4	9	सानोभन्दा	no	
15697	सापेक्षता	4	4	4	9	सापेक्षता	no	
15698	साप्ताहिकलाई	4	4	4	12	साप्ताहिकलाई	no	
15699	साबुन	4	4	4	5	साबुन	no	
15700	सामग्रीबाट	4	4	4	10	सामग्रीबाट	no	
15701	सामग्रीहरूको	4	4	4	12	सामग्रीहरूको	no	
15702	सामयिक	4	4	4	6	सामयिक	no	
15703	सामुहिक	4	4	4	7	सामुहिक	no	
15704	साम्यवादी	4	4	4	9	साम्यवादी	no	
15705	साम्राज्यहरूमा	4	4	4	14	साम्राज्यहरूमा	no	
15706	सारणीको	4	4	4	7	सारणीको	no	
15707	सारिएको	4	4	4	7	सारिएको	no	
15708	सारिन्छ	4	4	4	7	सारिन्छ	no	
15709	सारीबाहन	4	4	4	8	सारीबाहन	no	
15710	सारौँ	4	4	4	5	सारौँ	no	
15711	सालक	4	4	4	4	सालक	no	
15712	साहिब	4	4	4	5	साहिब	no	
15713	साहेबको	4	4	4	7	साहेबको	no	
15714	सिंहासन	4	4	4	7	सिंहासन	no	
15715	सिंहासनमा	4	4	4	9	सिंहासनमा	no	
15716	सिएनएन	4	4	4	6	सिएनएन	no	
15717	सिकाउँछ	4	4	4	7	सिकाउँछ	no	
15718	सिकाउनुहोस्	4	4	4	11	सिकाउनुहोस्	no	
15719	सिकाएका	4	4	4	7	सिकाएका	no	
15720	सिकारको	4	4	4	7	सिकारको	no	
15721	सिकुवा	4	4	4	6	सिकुवा	no	
15722	सिक्किमेली	4	4	4	10	सिक्किमेली	no	
15723	सिक्नुपर्ने	4	4	4	11	सिक्नुपर्ने	no	
15724	सिख	4	4	4	3	सिख	no	
15725	सिग्देल	4	4	4	7	सिग्देल	no	
15726	सिङे	4	4	4	4	सिङे	no	
15727	सिङ्गमर्मरको	4	4	4	12	सिङ्गमर्मरको	no	
15728	सिङ्गापुरस्थित	4	4	4	14	सिङ्गापुरस्थित	no	
15729	सिङ्गै	4	4	4	6	सिङ्गै	no	
15730	सिटहरूका	4	4	4	8	सिटहरूका	no	
15731	सिटहरूको	4	4	4	8	सिटहरूको	no	
15732	सिटो	4	4	4	4	सिटो	no	
15733	सिताराहरू	4	4	4	9	सिताराहरू	no	
15734	सिद्धको	4	4	4	7	सिद्धको	no	
15735	सिद्धदूत	4	4	4	8	सिद्धदूत	no	
15736	सिद्धान्तकार	4	4	4	12	सिद्धान्तकार	no	
15737	सिद्धिमा	4	4	4	8	सिद्धिमा	no	
15738	सिधा	4	4	4	4	सिधा	no	
15739	सिधे	4	4	4	4	सिधे	no	
15740	सिन्ड्रोम	4	4	4	9	सिन्ड्रोम	no	
15741	सिन्दुरमा	4	4	4	9	सिन्दुरमा	no	
15742	सिन्धुलीको	4	4	4	10	सिन्धुलीको	no	
15743	सिन्धुलीमा	4	4	4	10	सिन्धुलीमा	no	
15744	सिन्धुलीमाढी	4	4	4	12	सिन्धुलीमाढी	no	
15745	सिन्धुलीमाढीबाट	4	4	4	15	सिन्धुलीमाढीबाट	no	
15746	सिन्हा	4	4	4	6	सिन्हा	no	
15747	सिमलबोटका	4	4	4	9	सिमलबोटका	no	
15748	सिमावर्ती	4	4	4	9	सिमावर्ती	no	
15749	सिमोन	4	4	4	5	सिमोन	no	
15750	सिर्जनाहरू	4	4	4	10	सिर्जनाहरू	no	
15751	सिलामलाई	4	4	4	8	सिलामलाई	no	
15752	सिलिन्डर	4	4	4	8	सिलिन्डर	no	
15753	सिस्नुको	4	4	4	8	सिस्नुको	no	
15754	सीमाहरू	4	4	4	7	सीमाहरू	no	
15755	सुइँको	4	4	4	6	सुइँको	no	
15756	सुईँको	4	4	4	6	सुईँको	no	
15757	सुकाउने	4	4	4	7	सुकाउने	no	
15758	सुकीका	4	4	4	6	सुकीका	no	
15759	सुखको	4	4	4	5	सुखको	no	
15760	सुखले	4	4	4	5	सुखले	no	
15761	सुजनन	4	4	4	5	सुजनन	no	
15762	सुजाक	4	4	4	5	सुजाक	no	
15763	सुधारक	4	4	4	6	सुधारक	no	
15764	सुधारहरू	4	4	4	8	सुधारहरू	no	
15765	सुधार्ने	4	4	4	8	सुधार्ने	no	
15766	सुनकोसी	4	4	4	7	सुनकोसी	no	
15767	सुनकोसीको	4	4	4	9	सुनकोसीको	no	
15768	सुनखानी	4	4	4	7	सुनखानी	no	
15769	सुनपानी	4	4	4	7	सुनपानी	no	
15770	सुनपानीको	4	4	4	9	सुनपानीको	no	
15771	सुनाइएको	4	4	4	8	सुनाइएको	no	
15772	सुनाए	4	4	4	5	सुनाए	no	
15773	सुनिश्चितता	4	4	4	11	सुनिश्चितता	no	
15774	सुनेनन्	4	4	4	7	सुनेनन्	no	
15775	सुन्नमा	4	4	4	7	सुन्नमा	no	
15776	सुन्यो	4	4	4	6	सुन्यो	no	
15777	सुप	4	4	4	3	सुप	no	
15778	सुपले	4	4	4	5	सुपले	no	
15779	सुपारीको	4	4	4	8	सुपारीको	no	
15780	सुमतिका	4	4	4	7	सुमतिका	no	
15781	सुमन	4	4	4	4	सुमन	no	
15782	सुरुवातको	4	4	4	9	सुरुवातको	no	
15783	सुरुवाती	4	4	4	8	सुरुवाती	no	
15784	सुविधाबाट	4	4	4	9	सुविधाबाट	no	
15785	सुविधाले	4	4	4	8	सुविधाले	no	
15786	सुवेदीद्वारा	4	4	4	12	सुवेदीद्वारा	no	
15787	सुवेदीले	4	4	4	8	सुवेदीले	no	
15788	सुस्वास्थ्य	4	4	4	11	सुस्वास्थ्य	no	
15789	सूचकाङ्कमा	4	4	4	10	सूचकाङ्कमा	no	
15790	सूचनालाई	4	4	4	8	सूचनालाई	no	
15791	सूत्रीय	4	4	4	7	सूत्रीय	no	
15792	सूर्यकन्या	4	4	4	10	सूर्यकन्या	no	
15793	सूर्यप्रकाश	4	4	4	11	सूर्यप्रकाश	no	
15794	सूर्यास्त	4	4	4	9	सूर्यास्त	no	
15795	सूर्योदय	4	4	4	8	सूर्योदय	no	
15796	सृजनाजी	4	4	4	7	सृजनाजी	no	
15797	सृष्टिका	4	4	4	8	सृष्टिका	no	
15798	सेकन्डमा	4	4	4	8	सेकन्डमा	no	
15799	सेकेन्डदेखि	4	4	4	11	सेकेन्डदेखि	no	
15800	सेटहरूमा	4	4	4	8	सेटहरूमा	no	
15801	सेनका	4	4	4	5	सेनका	no	
15802	सेनानी	4	4	4	6	सेनानी	no	
15803	सेन्चुरी	4	4	4	8	सेन्चुरी	no	
15804	सेप्टेम्बरदेखि	4	4	4	14	सेप्टेम्बरदेखि	no	
15805	सेमिफाइनलमा	4	4	4	11	सेमिफाइनलमा	no	
15806	सेर	4	4	4	3	सेर	no	
15807	सेलाइन्छ	4	4	4	8	सेलाइन्छ	no	
15808	सेल्सियसदेखि	4	4	4	12	सेल्सियसदेखि	no	
15809	सेवालाई	4	4	4	7	सेवालाई	no	
15810	सोंठ	4	4	4	4	सोंठ	no	
15811	सोचलाई	4	4	4	6	सोचलाई	no	
15812	सोचे	4	4	4	4	सोचे	no	
15813	सोच्दै	4	4	4	6	सोच्दै	no	
15814	सोच्ने	4	4	3	6	सोच्ने	no	
15815	सोझी	4	4	4	4	सोझी	no	
15816	सोधिने	4	4	4	6	सोधिने	no	
15817	सोधेको	4	4	4	6	सोधेको	no	
15818	सोध्नु	4	4	4	6	सोध्नु	no	
15819	सोनी	4	4	4	4	सोनी	no	
15820	सोव	4	4	4	3	सोव	no	
15821	सोहोन	4	4	4	5	सोहोन	no	
15822	सौभाग्यसूचक	4	4	4	11	सौभाग्यसूचक	no	
15823	सौर्यमण्डलबाहिर	4	4	4	15	सौर्यमण्डलबाहिर	no	
15824	सौर्यमास	4	4	4	8	सौर्यमास	no	
15825	स्कटको	4	4	4	6	स्कटको	no	
15826	स्कुलहरूमा	4	4	4	10	स्कुलहरूमा	no	
15827	स्कुलहरूलाई	4	4	4	11	स्कुलहरूलाई	no	
15828	स्कूल	4	4	4	5	स्कूल	no	
15829	स्टक	4	4	4	4	स्टक	no	
15830	स्टब	4	4	4	4	स्टब	no	
15831	स्टिभ	4	4	4	5	स्टिभ	no	
15832	स्टिल	4	4	4	5	स्टिल	no	
15833	स्टुअर्ट	4	4	4	8	स्टुअर्ट	no	
15834	स्टेसनहरूमा	4	4	4	11	स्टेसनहरूमा	no	
15835	स्टोर	4	4	4	5	स्टोर	no	
15836	स्टोरिज	4	4	4	7	स्टोरिज	no	
15837	स्तुतिबाट	4	4	4	9	स्तुतिबाट	no	
15838	स्त्रीरोग	4	4	4	9	स्त्रीरोग	no	
15839	स्थलान्तरित	4	4	4	11	स्थलान्तरित	no	
15840	स्थानसम्म	4	4	4	9	स्थानसम्म	no	
15841	स्थानहरूलाई	4	4	4	11	स्थानहरूलाई	no	
15842	स्थानान्तरण	4	4	4	11	स्थानान्तरण	no	
15843	स्थापत्य	4	4	4	8	स्थापत्य	no	
15844	स्थापनापूर्व	4	4	4	12	स्थापनापूर्व	no	
15845	स्थापनालाई	4	4	4	10	स्थापनालाई	no	
15846	स्थायीबासी	4	4	4	10	स्थायीबासी	no	
15847	स्पन्ज	4	4	4	6	स्पन्ज	no	
15848	स्पाइनल	4	4	4	7	स्पाइनल	no	
15849	स्पेनका	4	4	4	7	स्पेनका	no	
15850	स्पेनिस	4	4	4	7	स्पेनिस	no	
15851	स्मिथले	4	4	4	7	स्मिथले	no	
15852	स्लिम	4	4	4	5	स्लिम	no	
15853	स्वनिर्मित	4	4	4	10	स्वनिर्मित	no	
15854	स्वयम्का	4	4	4	8	स्वयम्का	no	
15855	स्वरूपको	4	4	4	8	स्वरूपको	no	
15856	स्वर्गमा	4	4	4	8	स्वर्गमा	no	
15857	स्वस्ति	4	4	4	7	स्वस्ति	no	
15858	स्वस्थकर	4	4	4	8	स्वस्थकर	no	
15859	स्वादले	4	4	4	7	स्वादले	no	
15860	स्वानुभूतिको	4	4	4	12	स्वानुभूतिको	no	
15861	स्वार्थी	4	4	4	8	स्वार्थी	no	
15862	स्वास्थ्यकर्मीहरूको	4	4	4	19	स्वास्थ्यकर्मीहरूको	no	
15863	स्वैरकल्पनाको	4	4	4	13	स्वैरकल्पनाको	no	
15864	हकदार	4	4	4	5	हकदार	no	
15865	हजारको	4	4	4	6	हजारको	no	
15866	हजारलाई	4	4	4	7	हजारलाई	no	
15867	हजारवटा	4	4	4	7	हजारवटा	no	
15868	हजारीप्रसाद	4	4	4	11	हजारीप्रसाद	no	
15869	हजारेलाई	4	4	4	8	हजारेलाई	no	
15870	हटाइनेछ	4	4	4	7	हटाइनेछ	no	
15871	हटाइन्छ	4	4	4	7	हटाइन्छ	no	
15872	हटाइयो	4	4	4	6	हटाइयो	no	
15873	हटाउनका	4	4	4	7	हटाउनका	no	
15874	हटेपछि	4	4	4	6	हटेपछि	no	
15875	हडप्पा	4	4	4	6	हडप्पा	no	
15876	हतियारका	4	4	4	8	हतियारका	no	
15877	हत्याएका	4	4	4	8	हत्याएका	no	
15878	हत्याका	4	4	4	7	हत्याका	no	
15879	हत्याकाण्डको	4	4	4	12	हत्याकाण्डको	no	
15880	हनुमानगढ	4	4	4	8	हनुमानगढ	no	
15881	हप्तामा	4	4	4	7	हप्तामा	no	
15882	हप्तासम्म	4	4	4	9	हप्तासम्म	no	
15883	हप्परको	4	4	4	7	हप्परको	no	
15884	हफ्ताभित्र	4	4	4	10	हफ्ताभित्र	no	
15885	हमलाका	4	4	4	6	हमलाका	no	
15886	हमाल	4	4	4	4	हमाल	no	
15887	हमालद्वारा	4	4	4	10	हमालद्वारा	no	
15888	हम्मलको	4	4	4	7	हम्मलको	no	
15889	हरदम	4	4	4	4	हरदम	no	
15890	हराउनु	4	4	4	6	हराउनु	no	
15891	हराए	4	4	4	4	हराए	no	
15892	हराएका	4	4	4	6	हराएका	no	
15893	हरायो	4	4	4	5	हरायो	no	
15894	हरिनारायण	4	4	4	9	हरिनारायण	no	
15895	हरिमाने	4	4	4	7	हरिमाने	no	
15896	हरियाना	4	4	4	7	हरियाना	no	
15897	हरिवन	4	4	4	5	हरिवन	no	
15898	हरिहरसिंहदेवले	4	4	4	14	हरिहरसिंहदेवले	no	
15899	हलचल	4	4	4	4	हलचल	no	
15900	हलिउडदेखि	4	4	4	9	हलिउडदेखि	no	
15901	हवर्ड	4	4	4	5	हवर्ड	no	
15902	हस्तकला	4	4	4	7	हस्तकला	no	
15903	हस्तिहरू	4	4	4	8	हस्तिहरू	no	
15904	हस्पिटल	4	4	4	7	हस्पिटल	no	
15905	हाँक्ने	4	4	4	7	हाँक्ने	no	
15906	हाँसिन्	4	4	4	7	हाँसिन्	no	
15907	हाइड्रोजनको	4	4	4	11	हाइड्रोजनको	no	
15908	हाइस्कुलको	4	4	4	10	हाइस्कुलको	no	
15909	हाई	4	4	4	3	हाई	no	
15910	हाकिम	4	4	4	5	हाकिम	no	
15911	हाकिमले	4	4	4	7	हाकिमले	no	
15912	हाटबजारमा	4	4	4	9	हाटबजारमा	no	
15913	हातका	4	4	4	5	हातका	no	
15914	हातहरूमा	4	4	4	8	हातहरूमा	no	
15915	हानियो	4	4	4	6	हानियो	no	
15916	हान्ने	4	4	4	6	हान्ने	no	
15917	हामीबाट	4	4	4	7	हामीबाट	no	
15918	हामीसँग	4	4	4	7	हामीसँग	no	
15919	हार्डवेयर	4	4	4	9	हार्डवेयर	no	
15920	हार्वेस्टरको	4	4	4	12	हार्वेस्टरको	no	
15921	हाल्दै	4	4	4	6	हाल्दै	no	
15922	हावाका	4	4	4	6	हावाका	no	
15923	हाहाहुहु	4	4	4	8	हाहाहुहु	no	
15924	हि	4	4	4	2	हि	no	
15925	हिँउ	4	4	4	4	हिँउ	no	
15926	हिँड्छन्	4	4	4	8	हिँड्छन्	no	
15927	हिँड्नुपर्छ	4	4	4	11	हिँड्नुपर्छ	no	
15928	हिंसाबाट	4	4	4	8	हिंसाबाट	no	
15929	हिंसाले	4	4	4	7	हिंसाले	no	
15930	हिजरी	4	4	4	5	हिजरी	no	
15931	हिजोको	4	4	4	6	हिजोको	no	
15932	हिटीलाई	4	4	4	7	हिटीलाई	no	
15933	हिन्दुहरूको	4	4	4	11	हिन्दुहरूको	no	
15934	हिन्दूहरू	4	4	4	9	हिन्दूहरू	no	
15935	हिमश्रृङ्खला	4	4	4	12	हिमश्रृङ्खला	no	
15936	हिमालयका	4	4	4	8	हिमालयका	no	
15937	हिरादेवी	4	4	4	8	हिरादेवी	no	
15938	हिलियम	4	4	4	6	हिलियम	no	
15939	हिल्स	4	4	4	5	हिल्स	no	
15940	हुडी	4	2	2	4	हुडी	no	
15941	हुनपुग्यो	4	4	4	9	हुनपुग्यो	no	
15942	हुनाको	4	4	4	6	हुनाको	no	
15943	हुनुपरेको	4	4	4	9	हुनुपरेको	no	
15944	हुनुभएकी	4	4	4	8	हुनुभएकी	no	
15945	हुनुहुनेछ	4	4	4	9	हुनुहुनेछ	no	
15946	हुनुहुन्न	4	4	4	9	हुनुहुन्न	no	
15947	हुनेमा	4	4	4	6	हुनेमा	no	
15948	हुनेहरूमा	4	4	4	9	हुनेहरूमा	no	
15949	हुनैपर्ने	4	4	4	9	हुनैपर्ने	no	
