word	source	ipa	segments	n_segments	freq	n_utts	n_speakers
शाकुन्तलममा	slr54	ʃaːkuntələməmaː	ʃ aː k u n t ə l ə m ə m aː	13	4	4	4
शाक्त	slr54	ʃaːktə	ʃ aː k t ə	5	4	4	4
शाश्वत	slr54	ʃaːʃwt	ʃ aː ʃ w t	5	4	4	4
शासनतन्त्र	slr54	ʃaːsənətʌntɾə	ʃ aː s ə n ə t ʌ n t ɾ ə	12	4	4	4
शासनबाट	slr54	ʃaːsənəbaːʈ	ʃ aː s ə n ə b aː ʈ	9	4	4	4
शास्त्रको	slr54	ʃaːstɾəkoː	ʃ aː s t ɾ ə k oː	8	4	4	4
शास्त्रहरूमा	slr54	ʃaːstɾəhəɾuːmaː	ʃ aː s t ɾ ə h ə ɾ uː m aː	12	4	4	4
शाहजहाँले	slr54	ʃaːhəɟəhãleː	ʃ aː h ə ɟ ə h ã l eː	10	4	4	4
शिक्षाविद्	slr54	ʃɪkʂaːwɪd	ʃ ɪ k ʂ aː w ɪ d	8	4	4	4
शिक्षिका	slr54	ʃɪkʂɪkaː	ʃ ɪ k ʂ ɪ k aː	7	4	4	4
शिला	slr54	ʃɪlaː	ʃ ɪ l aː	4	4	4	4
शिलान्यास	slr54	ʃɪlaːnjaːs	ʃ ɪ l aː n j aː s	8	4	4	4
शिलालेखलाई	slr54	ʃɪlaːleːkʰəlaːi	ʃ ɪ l aː l eː kʰ ə l aː i	11	4	4	4
शिवजी	slr54	ʃɪwəɟiː	ʃ ɪ w ə ɟ iː	6	4	4	4
शिवजीको	slr54	ʃɪwəɟɪːkoː	ʃ ɪ w ə ɟ ɪː k oː	8	4	4	4
शिवपार्वती	slr54	ʃɪwəpaːrrwtiː	ʃ ɪ w ə p aː r r w t iː	11	4	4	4
शिवरात्रीमा	slr54	ʃɪwəɾaːtɾɪːmaː	ʃ ɪ w ə ɾ aː t ɾ ɪː m aː	11	4	4	4
शीर्षकहरूमा	slr54	ʃɪːrrʂəkəhəɾuːmaː	ʃ ɪː r r ʂ ə k ə h ə ɾ uː m aː	14	4	4	4
शीर्षस्थानमा	slr54	ʃɪːrrʂəstʰaːnəmaː	ʃ ɪː r r ʂ ə s tʰ aː n ə m aː	13	4	4	4
शुक्रबारको	slr54	ʃukɾəbaːɾəkoː	ʃ u k ɾ ə b aː ɾ ə k oː	11	4	4	4
शुद्धलेखनको	slr54	ʃudːdʰəleːkʰənəkoː	ʃ u dː dʰ ə l eː kʰ ə n ə k oː	13	4	4	4
शुभकामनाले	slr54	ʃubʰəkaːmənaːleː	ʃ u bʰ ə k aː m ə n aː l eː	12	4	4	4
शुरु	slr54	ʃuɾu	ʃ u ɾ u	4	4	4	4
शेर्पाका	slr54	ʃeːrrpaːkaː	ʃ eː r r p aː k aː	8	4	4	4
शेर्पाहरूका	slr54	ʃeːrrpaːhəɾuːkaː	ʃ eː r r p aː h ə ɾ uː k aː	12	4	4	4
शेशी	slr54	ʃeːʃi	ʃ eː ʃ i	4	4	4	4
शैलीलाई	slr54	ʃɛːlɪːlaːi	ʃ ɛː l ɪː l aː i	7	4	4	4
शोधकार्य	slr54	ʃoːdʰəkaːrrjə	ʃ oː dʰ ə k aː r r j ə	10	4	4	4
शोमा	slr54	ʃoːmaː	ʃ oː m aː	4	4	4	4
श्रावणदेखि	slr54	ʃɾaːwəɳədeːkʰɪ	ʃ ɾ aː w ə ɳ ə d eː kʰ ɪ	11	4	4	4
श्रीनगरदेखि	slr54	ʃɾɪːnəɡəɾədeːkʰɪ	ʃ ɾ ɪː n ə ɡ ə ɾ ə d eː kʰ ɪ	13	4	4	4
श्रीलङ्काको	slr54	ʃɾɪːləŋkaːkoː	ʃ ɾ ɪː l ə ŋ k aː k oː	10	4	4	4
श्रीलङ्कातिर	slr54	ʃɾɪːləŋkaːtɪɾə	ʃ ɾ ɪː l ə ŋ k aː t ɪ ɾ ə	12	4	4	4
श्रीलङ्कामा	slr54	ʃɾɪːləŋkaːmaː	ʃ ɾ ɪː l ə ŋ k aː m aː	10	4	4	4
श्रीहरिको	slr54	ʃɾɪːhəɾɪkoː	ʃ ɾ ɪː h ə ɾ ɪ k oː	9	4	4	4
श्रृङ्खलाका	slr54	ʃrɾɪŋkʰəlaːkaː	ʃ r ɾ ɪ ŋ kʰ ə l aː k aː	11	4	4	4
श्रेणीका	slr54	ʃɾeːɳɪːkaː	ʃ ɾ eː ɳ ɪː k aː	7	4	4	4
श्रेणीहरू	slr54	ʃɾeːɳɪːhəɾuː	ʃ ɾ eː ɳ ɪː h ə ɾ uː	9	4	4	4
श्रेणीहरूले	slr54	ʃɾeːɳɪːhəɾuːleː	ʃ ɾ eː ɳ ɪː h ə ɾ uː l eː	11	4	4	4
श्रेष्ठजी	slr54	ʃɾeːʂʈʰəɟi	ʃ ɾ eː ʂ ʈʰ ə ɟ i	8	4	4	4
श्रेष्ठतम	slr54	ʃɾeːʂʈʰətəmə	ʃ ɾ eː ʂ ʈʰ ə t ə m ə	10	4	4	4
श्रेष्ठमा	slr54	ʃɾeːʂʈʰəmaː	ʃ ɾ eː ʂ ʈʰ ə m aː	8	4	4	4
श्लोकहरू	slr54	ʃloːkəhəɾuː	ʃ l oː k ə h ə ɾ uː	9	4	4	4
सँगालो	slr54	ʃʌ̃ɡaːloː	ʃ ʌ̃ ɡ aː l oː	6	4	4	4
सँधै	slr54	ʃʌ̃dʰɛː	ʃ ʌ̃ dʰ ɛː	4	4	4	4
संक्षेपमा	slr54	səŋkʂeːpəmaː	s ə ŋ k ʂ eː p ə m aː	10	4	4	4
संगठनका	slr54	sʌŋɡəʈʰənəkaː	s ʌ ŋ ɡ ə ʈʰ ə n ə k aː	11	4	4	4
संगीतबाट	slr54	səŋɡɪːtəbaːʈ	s ə ŋ ɡ ɪː t ə b aː ʈ	10	4	4	4
संग्रहित	slr54	sʌŋɡɾəhɪt	s ʌ ŋ ɡ ɾ ə h ɪ t	9	4	4	4
संरक्षणको	slr54	sənɾʌkʂəɳəkoː	s ə n ɾ ʌ k ʂ ə ɳ ə k oː	12	4	4	4
संरक्षित	slr54	sənɾʌkʂɪt	s ə n ɾ ʌ k ʂ ɪ t	9	4	4	4
संरचनाहरूलाई	slr54	sənɾəcənaːhəɾuːlaːi	s ə n ɾ ə c ə n aː h ə ɾ uː l aː i	16	4	4	4
संसदका	slr54	sʌnsədəkaː	s ʌ n s ə d ə k aː	9	4	4	4
संसारमै	slr54	sənsaːɾəmɛː	s ə n s aː ɾ ə m ɛː	9	4	4	4
संसारलाई	slr54	sənsaːɾəlaːi	s ə n s aː ɾ ə l aː i	10	4	4	4
संस्कृतिका	slr54	sənskɾɪtɪkaː	s ə n s k ɾ ɪ t ɪ k aː	11	4	4	4
संहितामा	slr54	səŋhɪtaːmaː	s ə ŋ h ɪ t aː m aː	9	4	4	4
सकिएपछि	slr54	səkɪʲeːpəcʰɪ	s ə k ɪ eː p ə cʰ ɪ	9	4	4	4
सकी	slr54	sʌki	s ʌ k i	4	4	4	4
सकेर	slr54	səkeːɾə	s ə k eː ɾ ə	6	4	4	4
सक्दा	slr54	sʌkdaː	s ʌ k d aː	5	4	4	4
सक्दैनथे	slr54	səkdɛːnətʰeː	s ə k d ɛː n ə tʰ eː	9	4	4	4
सक्रियताले	slr54	səkɾɪjətaːleː	s ə k ɾ ɪ j ə t aː l eː	11	4	4	4
सक्सिड	slr54	sʌksɪɖ	s ʌ k s ɪ ɖ	6	4	4	4
सखर	slr54	sʌkʰəɾə	s ʌ kʰ ə ɾ ə	6	4	4	4
सगरमाथालाई	slr54	səɡəɾəmaːtʰaːlaːi	s ə ɡ ə ɾ ə m aː tʰ aː l aː i	13	4	4	4
सङ्कटबाट	slr54	səŋkəʈəbaːʈ	s ə ŋ k ə ʈ ə b aː ʈ	10	4	4	4
सङ्ख्याहरूका	slr54	səŋkʰjaːhəɾuːkaː	s ə ŋ kʰ j aː h ə ɾ uː k aː	12	4	4	4
सङ्गठनहरूको	slr54	səŋɡəʈʰənəhəɾuːkoː	s ə ŋ ɡ ə ʈʰ ə n ə h ə ɾ uː k oː	15	4	4	4
सङ्गीतकार	slr54	səŋɡɪːtəkaːɾə	s ə ŋ ɡ ɪː t ə k aː ɾ ə	11	4	4	4
सङ्ग्रहहरू	slr54	sʌŋɡɾəhəhəɾuː	s ʌ ŋ ɡ ɾ ə h ə h ə ɾ uː	12	4	4	4
सङ्ग्रहित	slr54	sʌŋɡɾəhɪt	s ʌ ŋ ɡ ɾ ə h ɪ t	9	4	4	4
सङ्ग्रामको	slr54	səŋɡɾaːməkoː	s ə ŋ ɡ ɾ aː m ə k oː	10	4	4	4
सङ्घबाट	slr54	səŋɡʰəbaːʈ	s ə ŋ ɡʰ ə b aː ʈ	8	4	4	4
सङ्घर्षमय	slr54	səŋɡʰʌrrʂəməjə	s ə ŋ ɡʰ ʌ r r ʂ ə m ə j ə	13	4	4	4
सङ्घर्षशील	slr54	səŋɡʰərrʂəʃɪːl	s ə ŋ ɡʰ ə r r ʂ ə ʃ ɪː l	12	4	4	4
सङ्घीयता	slr54	səŋɡʰɪːjətaː	s ə ŋ ɡʰ ɪː j ə t aː	9	4	4	4
सङ्लो	slr54	sʌŋloː	s ʌ ŋ l oː	5	4	4	3
सचिवको	slr54	sʌcɪwəkoː	s ʌ c ɪ w ə k oː	8	4	4	4
सच्याउनको	slr54	səcːjaːʊnəkoː	s ə cː j aː ʊ n ə k oː	10	4	4	4
सजाइएको	slr54	səɟaːɪʲeːkoː	s ə ɟ aː ɪ eː k oː	8	4	4	4
सजायको	slr54	səɟaːjəkoː	s ə ɟ aː j ə k oː	8	4	4	4
सजावट	slr54	səɟaːwəʈ	s ə ɟ aː w ə ʈ	7	4	4	4
सजिएको	slr54	səɟɪʲeːkoː	s ə ɟ ɪ eː k oː	7	4	4	4
सञ्चयकोष	slr54	səɲcəjəkoːʂ	s ə ɲ c ə j ə k oː ʂ	10	4	4	4
सञ्चारका	slr54	səɲcaːɾəkaː	s ə ɲ c aː ɾ ə k aː	9	4	4	4
सञ्जालमा	slr54	səɲɟaːləmaː	s ə ɲ ɟ aː l ə m aː	9	4	4	4
सटल	slr54	sʌʈəl	s ʌ ʈ ə l	5	4	4	4
सतगुरूको	slr54	sətəɡuɾuːkoː	s ə t ə ɡ u ɾ uː k oː	10	4	4	4
सतही	slr54	sʌtəhiː	s ʌ t ə h iː	6	4	4	4
सत्तामाथि	slr54	səttaːmaːtʰɪ	s ə t t aː m aː tʰ ɪ	9	4	4	4
सदरमुकामदेखि	slr54	sədəɾəmukaːmədeːkʰɪ	s ə d ə ɾ ə m u k aː m ə d eː kʰ ɪ	16	4	4	4
सदाकत	slr54	sədaːkət	s ə d aː k ə t	7	4	4	4
सद्भाव	slr54	sədbʰaːwə	s ə d bʰ aː w ə	7	4	4	4
सधा	slr54	sʌdʰaː	s ʌ dʰ aː	4	4	4	4
सधैँका	slr54	sədʰɛ̃kaː	s ə dʰ ɛ̃ k aː	6	4	4	4
सनबर्ड	slr54	sənəbʌrrɖə	s ə n ə b ʌ r r ɖ ə	10	4	4	4
सन्तानमा	slr54	səntaːnəmaː	s ə n t aː n ə m aː	9	4	4	4
सन्दीप	slr54	səndɪːp	s ə n d ɪː p	6	4	4	4
सप्तरीमा	slr54	səptəɾɪːmaː	s ə p t ə ɾ ɪː m aː	9	4	4	4
सप्तशतीको	slr54	səptəʃətɪːkoː	s ə p t ə ʃ ə t ɪː k oː	11	4	4	4
सप्ताहको	slr54	səptaːhəkoː	s ə p t aː h ə k oː	9	4	4	4
सफलतापछि	slr54	səpʰələtaːpəcʰɪ	s ə pʰ ə l ə t aː p ə cʰ ɪ	12	4	4	4
सबबाट	slr54	səbəbaːʈ	s ə b ə b aː ʈ	7	4	4	4
सबेरै	slr54	səbeːɾɛː	s ə b eː ɾ ɛː	6	4	4	4
सबैकुरा	slr54	səbɛːkuɾaː	s ə b ɛː k u ɾ aː	8	4	4	4
सबैमाथि	slr54	səbɛːmaːtʰɪ	s ə b ɛː m aː tʰ ɪ	8	4	4	4
सब्जीको	slr54	səbɟɪːkoː	s ə b ɟ ɪː k oː	7	4	4	4
सभ्यतासँग	slr54	səbʰjətaːʃʌ̃ɡ	s ə bʰ j ə t aː ʃ ʌ̃ ɡ	10	4	4	4
समझदारी	slr54	səməɟʰədaːɾi	s ə m ə ɟʰ ə d aː ɾ i	10	4	4	4
समद्वारा	slr54	səmədːwaːɾaː	s ə m ə dː w aː ɾ aː	9	4	4	4
समन्वयको	slr54	səmənwjʌkoː	s ə m ə n w j ʌ k oː	10	4	4	4
समयभन्दा	slr54	səməjəbʰʌndaː	s ə m ə j ə bʰ ʌ n d aː	11	4	4	4
समयावधि	slr54	səməjaːwədʰɪ	s ə m ə j aː w ə dʰ ɪ	10	4	4	4
समयावधिलाई	slr54	səməjaːwədʰɪlaːi	s ə m ə j aː w ə dʰ ɪ l aː i	13	4	4	4
समस्याबाट	slr54	səməsjaːbaːʈ	s ə m ə s j aː b aː ʈ	10	4	4	4
समाउने	slr54	səmaːʊneː	s ə m aː ʊ n eː	7	4	4	4
समाजबाट	slr54	səmaːɟəbaːʈ	s ə m aː ɟ ə b aː ʈ	9	4	4	4
समाजले	slr54	səmaːɟəleː	s ə m aː ɟ ə l eː	8	4	4	3
समाजवादको	slr54	səmaːɟəwaːdəkoː	s ə m aː ɟ ə w aː d ə k oː	12	4	4	4
समाजशास्त्रीय	slr54	səmaːɟəʃaːstɾɪːjə	s ə m aː ɟ ə ʃ aː s t ɾ ɪː j ə	14	4	4	4
समाजहरू	slr54	səmaːɟəhəɾuː	s ə m aː ɟ ə h ə ɾ uː	10	4	4	4
समाजहरूले	slr54	səmaːɟəhəɾuːleː	s ə m aː ɟ ə h ə ɾ uː l eː	12	4	4	4
समाती	slr54	səmaːti	s ə m aː t i	6	4	4	4
समात्न	slr54	səmaːtnə	s ə m aː t n ə	7	4	4	4
समात्ने	slr54	səmaːtneː	s ə m aː t n eː	7	4	4	4
समानताको	slr54	səmaːnətaːkoː	s ə m aː n ə t aː k oː	10	4	4	4
समालोचनाका	slr54	səmaːloːcənaːkaː	s ə m aː l oː c ə n aː k aː	12	4	4	3
समावेशी	slr54	səmaːweːʃi	s ə m aː w eː ʃ i	8	4	4	4
समितिकी	slr54	sʌmɪtɪki	s ʌ m ɪ t ɪ k i	8	4	4	4
समीक्षण	slr54	səmɪːkʂəɳ	s ə m ɪː k ʂ ə ɳ	8	4	4	4
समीक्षामा	slr54	səmɪːkʂaːmaː	s ə m ɪː k ʂ aː m aː	9	4	4	4
समुदायहरू	slr54	səmudaːjəhəɾuː	s ə m u d aː j ə h ə ɾ uː	12	4	4	4
समुन्द्र	slr54	səmundɾə	s ə m u n d ɾ ə	8	4	4	4
समुन्द्रमा	slr54	səmundɾəmaː	s ə m u n d ɾ ə m aː	10	4	4	4
समूहबाट	slr54	səmuːhəbaːʈ	s ə m uː h ə b aː ʈ	9	4	4	4
समूहमध्ये	slr54	səmuːhəmʌdʰjeː	s ə m uː h ə m ʌ dʰ j eː	11	4	4	4
समूहहरूमा	slr54	səmuːhəhəɾuːmaː	s ə m uː h ə h ə ɾ uː m aː	12	4	4	4
समेट्न	slr54	səmeːʈnə	s ə m eː ʈ n ə	7	4	4	4
सम्झनामा	slr54	səmɟʰənaːmaː	s ə m ɟʰ ə n aː m aː	9	4	4	4
सम्झिन	slr54	sʌmɟʰɪn	s ʌ m ɟʰ ɪ n	6	4	4	4
सम्झी	slr54	sʌmɟʰi	s ʌ m ɟʰ i	5	4	4	4
सम्पतिलाई	slr54	səmpətɪlaːi	s ə m p ə t ɪ l aː i	10	4	4	4
सम्पदाहरूको	slr54	səmpədaːhəɾuːkoː	s ə m p ə d aː h ə ɾ uː k oː	13	4	4	4
सम्पादकले	slr54	səmpaːdəkəleː	s ə m p aː d ə k ə l eː	11	4	4	4
सम्भावनाहरू	slr54	səmbʰaːwənaːhəɾuː	s ə m bʰ aː w ə n aː h ə ɾ uː	13	4	4	4
सम्भावनाहरूको	slr54	səmbʰaːwənaːhəɾuːkoː	s ə m bʰ aː w ə n aː h ə ɾ uː k oː	15	4	4	4
सम्मेलनका	slr54	sʌmmeːlənəkaː	s ʌ m m eː l ə n ə k aː	11	4	4	4
सम्शेरको	slr54	səmʃeːɾəkoː	s ə m ʃ eː ɾ ə k oː	9	4	4	4
सम्हाले	slr54	səmhaːleː	s ə m h aː l eː	7	4	4	4
सरकारहरूद्वारा	slr54	səɾəkaːɾəhəɾuːdːwaːɾaː	s ə ɾ ə k aː ɾ ə h ə ɾ uː dː w aː ɾ aː	17	4	4	4
सरले	slr54	sʌɾəleː	s ʌ ɾ ə l eː	6	4	4	4
सरोजले	slr54	səɾoːɟəleː	s ə ɾ oː ɟ ə l eː	8	4	4	4
सर्जन	slr54	sʌrrɟən	s ʌ r r ɟ ə n	7	4	3	3
सर्त	slr54	sʌrrtə	s ʌ r r t ə	6	4	4	4
सर्नुपर्ने	slr54	sərrnupʌrrneː	s ə r r n u p ʌ r r n eː	12	4	4	4
सर्व	slr54	sʌrrw	s ʌ r r w	5	4	4	4
सलामि	slr54	səlaːmɪ	s ə l aː m ɪ	6	4	4	4
सल्तनतको	slr54	sʌltənətəkoː	s ʌ l t ə n ə t ə k oː	11	4	4	4
सल्यानकोटमा	slr54	səljaːnəkoːʈəmaː	s ə l j aː n ə k oː ʈ ə m aː	13	4	4	4
सल्लाहका	slr54	səlllaːhəkaː	s ə l l l aː h ə k aː	10	4	4	4
सल्लेधारा	slr54	səllleːdʰaːɾaː	s ə l l l eː dʰ aː ɾ aː	10	4	4	4
सवा	slr54	səwaː	s ə w aː	4	4	4	4
सवालको	slr54	səwaːləkoː	s ə w aː l ə k oː	8	4	4	4
सविस्तार	slr54	səwɪstaːɾə	s ə w ɪ s t aː ɾ ə	9	4	4	4
सशङ्कित	slr54	səʃʌŋkɪt	s ə ʃ ʌ ŋ k ɪ t	8	4	4	4
सह	slr54	sʌhə	s ʌ h ə	4	4	4	4
सहकमान्डर	slr54	səhəkəmaːnɖəɾə	s ə h ə k ə m aː n ɖ ə ɾ ə	13	4	4	4
सहकर्मीले	slr54	səhəkərrmɪːleː	s ə h ə k ə r r m ɪː l eː	12	4	4	4
सहगायक	slr54	səhəɡaːjəkə	s ə h ə ɡ aː j ə k ə	10	4	4	3
सहयोगीहरूले	slr54	səhəjoːɡɪːhəɾuːleː	s ə h ə j oː ɡ ɪː h ə ɾ uː l eː	14	4	4	4
सहरहरूबाट	slr54	səhəɾəhəɾuːbaːʈ	s ə h ə ɾ ə h ə ɾ uː b aː ʈ	13	4	4	4
सहरहरूमध्येको	slr54	səhəɾəhəɾuːmədʰjeːkoː	s ə h ə ɾ ə h ə ɾ uː m ə dʰ j eː k oː	17	4	4	4
साँखु	slr54	sãkʰu	s ã kʰ u	4	4	4	4
साँगाचोक	slr54	sãɡaːcoːkə	s ã ɡ aː c oː k ə	8	4	4	4
साँढे	slr54	sãɖʰeː	s ã ɖʰ eː	4	4	4	4
साँध	slr54	sãdʰ	s ã dʰ	3	4	4	4
साइड	slr54	saːɪɖ	s aː ɪ ɖ	4	4	4	4
साइन	slr54	saːɪn	s aː ɪ n	4	4	4	4
साइन्ससम्बन्धी	slr54	saːɪnsəsəmbʌndʰi	s aː ɪ n s ə s ə m b ʌ n dʰ i	14	4	4	4
साइबर	slr54	saːɪbəɾə	s aː ɪ b ə ɾ ə	7	4	4	4
साक्षरताको	slr54	saːkʂəɾətaːkoː	s aː k ʂ ə ɾ ə t aː k oː	11	4	4	4
सागरका	slr54	saːɡəɾəkaː	s aː ɡ ə ɾ ə k aː	8	4	4	4
सागरदेखि	slr54	saːɡəɾədeːkʰɪ	s aː ɡ ə ɾ ə d eː kʰ ɪ	10	4	4	4
साडी	slr54	saːɖi	s aː ɖ i	4	4	4	4
साथीको	slr54	saːtʰɪːkoː	s aː tʰ ɪː k oː	6	4	4	4
साथीहरूमा	slr54	saːtʰɪːhəɾuːmaː	s aː tʰ ɪː h ə ɾ uː m aː	10	4	4	4
सानोभन्दा	slr54	saːnoːbʰʌndaː	s aː n oː bʰ ʌ n d aː	9	4	4	4
सापेक्षता	slr54	saːpeːkʂətaː	s aː p eː k ʂ ə t aː	9	4	4	4
साप्ताहिकलाई	slr54	saːptaːhɪkəlaːi	s aː p t aː h ɪ k ə l aː i	12	4	4	4
साबुन	slr54	saːbun	s aː b u n	5	4	4	4
सामग्रीबाट	slr54	saːməɡɾɪːbaːʈ	s aː m ə ɡ ɾ ɪː b aː ʈ	10	4	4	4
सामग्रीहरूको	slr54	saːməɡɾɪːhəɾuːkoː	s aː m ə ɡ ɾ ɪː h ə ɾ uː k oː	13	4	4	4
सामयिक	slr54	saːməjɪkə	s aː m ə j ɪ k ə	8	4	4	4
सामुहिक	slr54	saːmuhɪkə	s aː m u h ɪ k ə	8	4	4	4
साम्यवादी	slr54	saːmmjəwaːdi	s aː m m j ə w aː d i	10	4	4	4
साम्राज्यहरूमा	slr54	saːmɾaːɟjəhəɾuːmaː	s aː m ɾ aː ɟ j ə h ə ɾ uː m aː	14	4	4	4
सारणीको	slr54	saːɾəɳɪːkoː	s aː ɾ ə ɳ ɪː k oː	8	4	4	4
सारिएको	slr54	saːɾɪʲeːkoː	s aː ɾ ɪ eː k oː	7	4	4	4
सारिन्छ	slr54	saːɾɪncʰə	s aː ɾ ɪ n cʰ ə	7	4	4	4
सारीबाहन	slr54	saːɾɪːbaːhən	s aː ɾ ɪː b aː h ə n	9	4	4	4
सारौँ	slr54	saːɾɔ̃	s aː ɾ ɔ̃	4	4	4	4
सालक	slr54	saːləkə	s aː l ə k ə	6	4	4	4
साहिब	slr54	saːhɪb	s aː h ɪ b	5	4	4	4
साहेबको	slr54	saːheːbəkoː	s aː h eː b ə k oː	8	4	4	4
सिंहासन	slr54	sɪŋhaːsən	s ɪ ŋ h aː s ə n	8	4	4	4
सिंहासनमा	slr54	sɪŋhaːsənəmaː	s ɪ ŋ h aː s ə n ə m aː	11	4	4	4
सिएनएन	slr54	sɪʲeːnəeːnə	s ɪ eː n ə eː n ə	8	4	4	4
सिकाउँछ	slr54	sɪkaːũcʰə	s ɪ k aː ũ cʰ ə	7	4	4	4
सिकाउनुहोस्	slr54	sɪkaːʊnuhoːs	s ɪ k aː ʊ n u h oː s	10	4	4	4
सिकाएका	slr54	sɪkaːeːkaː	s ɪ k aː eː k aː	7	4	4	4
सिकारको	slr54	sɪkaːɾəkoː	s ɪ k aː ɾ ə k oː	8	4	4	4
सिकुवा	slr54	sɪkuwaː	s ɪ k u w aː	6	4	4	4
सिक्किमेली	slr54	sɪkkɪmeːli	s ɪ k k ɪ m eː l i	9	4	4	4
सिक्नुपर्ने	slr54	sɪknupʌrrneː	s ɪ k n u p ʌ r r n eː	11	4	4	4
सिख	slr54	sɪkʰ	s ɪ kʰ	3	4	4	4
सिग्देल	slr54	sɪɡdeːl	s ɪ ɡ d eː l	6	4	4	4
सिङे	slr54	sɪŋeː	s ɪ ŋ eː	4	4	4	4
सिङ्गमर्मरको	slr54	sɪŋɡəmʌrrməɾəkoː	s ɪ ŋ ɡ ə m ʌ r r m ə ɾ ə k oː	15	4	4	4
सिङ्गापुरस्थित	slr54	sɪŋɡaːpuɾʌstʰɪt	s ɪ ŋ ɡ aː p u ɾ ʌ s tʰ ɪ t	13	4	4	4
सिङ्गै	slr54	sɪŋɡɛː	s ɪ ŋ ɡ ɛː	5	4	4	4
सिटहरूका	slr54	sɪʈəhəɾuːkaː	s ɪ ʈ ə h ə ɾ uː k aː	10	4	4	4
सिटहरूको	slr54	sɪʈəhəɾuːkoː	s ɪ ʈ ə h ə ɾ uː k oː	10	4	4	4
सिटो	slr54	sɪʈoː	s ɪ ʈ oː	4	4	4	4
सिताराहरू	slr54	sɪtaːɾaːhəɾuː	s ɪ t aː ɾ aː h ə ɾ uː	10	4	4	4
सिद्धको	slr54	sɪdːdʰəkoː	s ɪ dː dʰ ə k oː	7	4	4	4
सिद्धदूत	slr54	sɪdːdʰəduːt	s ɪ dː dʰ ə d uː t	8	4	4	4
सिद्धान्तकार	slr54	sɪdːdʰaːntəkaːɾə	s ɪ dː dʰ aː n t ə k aː ɾ ə	12	4	4	4
सिद्धिमा	slr54	sɪdːdʰɪmaː	s ɪ dː dʰ ɪ m aː	7	4	4	4
सिधा	slr54	sɪdʰaː	s ɪ dʰ aː	4	4	4	4
सिधे	slr54	sɪdʰeː	s ɪ dʰ eː	4	4	4	4
सिन्ड्रोम	slr54	sɪnɖɾoːmə	s ɪ n ɖ ɾ oː m ə	8	4	4	4
सिन्दुरमा	slr54	sɪnduɾəmaː	s ɪ n d u ɾ ə m aː	9	4	4	4
सिन्धुलीको	slr54	sɪndʰulɪːkoː	s ɪ n dʰ u l ɪː k oː	9	4	4	4
सिन्धुलीमा	slr54	sɪndʰulɪːmaː	s ɪ n dʰ u l ɪː m aː	9	4	4	4
सिन्धुलीमाढी	slr54	sɪndʰulɪːmaːɖʰi	s ɪ n dʰ u l ɪː m aː ɖʰ i	11	4	4	4
सिन्धुलीमाढीबाट	slr54	sɪndʰulɪːmaːɖʰɪːbaːʈ	s ɪ n dʰ u l ɪː m aː ɖʰ ɪː b aː ʈ	14	4	4	4
सिन्हा	slr54	sɪnhaː	s ɪ n h aː	5	4	4	4
सिमलबोटका	slr54	sɪmələboːʈəkaː	s ɪ m ə l ə b oː ʈ ə k aː	12	4	4	4
सिमावर्ती	slr54	sɪmaːwʌrrti	s ɪ m aː w ʌ r r t i	10	4	4	4
सिमोन	slr54	sɪmoːn	s ɪ m oː n	5	4	4	4
सिर्जनाहरू	slr54	sɪrrɟənaːhəɾuː	s ɪ r r ɟ ə n aː h ə ɾ uː	12	4	4	4
सिलामलाई	slr54	sɪlaːməlaːi	s ɪ l aː m ə l aː i	9	4	4	4
सिलिन्डर	slr54	sɪlɪnɖəɾə	s ɪ l ɪ n ɖ ə ɾ ə	9	4	4	4
सिस्नुको	slr54	sɪsnukoː	s ɪ s n u k oː	7	4	4	4
सीमाहरू	slr54	sɪːmaːhəɾuː	s ɪː m aː h ə ɾ uː	8	4	4	4
सुइँको	slr54	suĩkoː	s u ĩ k oː	5	4	4	4
सुईँको	slr54	suĩkoː	s u ĩ k oː	5	4	4	4
सुकाउने	slr54	sukaːʊneː	s u k aː ʊ n eː	7	4	4	4
सुकीका	slr54	sukɪːkaː	s u k ɪː k aː	6	4	4	4
सुखको	slr54	sukʰəkoː	s u kʰ ə k oː	6	4	4	4
सुखले	slr54	sukʰəleː	s u kʰ ə l eː	6	4	4	4
सुजनन	slr54	suɟənən	s u ɟ ə n ə n	7	4	4	4
सुजाक	slr54	suɟaːkə	s u ɟ aː k ə	6	4	4	4
सुधारक	slr54	sudʰaːɾəkə	s u dʰ aː ɾ ə k ə	8	4	4	4
सुधारहरू	slr54	sudʰaːɾəhəɾuː	s u dʰ aː ɾ ə h ə ɾ uː	10	4	4	4
सुधार्ने	slr54	sudʰaːrrneː	s u dʰ aː r r n eː	8	4	4	4
सुनकोसी	slr54	sunəkoːsi	s u n ə k oː s i	8	4	4	4
सुनकोसीको	slr54	sunəkoːsɪːkoː	s u n ə k oː s ɪː k oː	10	4	4	4
सुनखानी	slr54	sunəkʰaːni	s u n ə kʰ aː n i	8	4	4	4
सुनपानी	slr54	sunəpaːni	s u n ə p aː n i	8	4	4	4
सुनपानीको	slr54	sunəpaːnɪːkoː	s u n ə p aː n ɪː k oː	10	4	4	4
सुनाइएको	slr54	sunaːɪʲeːkoː	s u n aː ɪ eː k oː	8	4	4	4
सुनाए	slr54	sunaːeː	s u n aː eː	5	4	4	4
