word	freq	n_utts	n_speakers
संवेदनशील	10	10	10
संस्थाका	10	10	10
सक्रियता	10	10	9
सदनका	10	10	10
सन्तानहरू	10	10	10
सन्धिमा	10	10	10
सप्ताह	10	10	10
सफ्टवेयर	10	10	9
समयअघि	10	10	10
समयानुसार	10	10	10
समयावधिमा	10	10	10
समस्याले	10	10	10
समाजसेवी	10	10	10
समुदायलाई	10	10	10
सम्पत्तिको	10	10	10
सम्बन्धहरूको	10	10	10
सरदार	10	10	10
सरोज	10	10	10
सर्वेक्षण	10	10	10
सशक्त	10	10	10
सहितको	10	10	10
साकेन्वा	10	10	9
साक्षर	10	10	10
साङ्गीतिक	10	10	10
सानोतिनो	10	10	10
सामग्रीको	10	10	9
सार्की	10	10	10
सार्ने	10	10	10
सिजी	10	10	10
सिजीले	10	10	10
सिवान	10	10	10
सीप	10	10	10
सीमामा	10	10	10
सुकीलाई	10	10	10
सुकेर	10	10	10
सुनाइयो	10	10	9
सुनार	10	10	10
सुन्तला	10	10	10
सुन्निएको	10	10	10
सुन्नी	10	10	10
सुपुत्री	10	10	10
सुब्बा	10	10	10
सुर	10	10	10
सुरक्षाका	10	10	10
सुरूवात	10	10	10
सुविधाहरूको	10	10	10
सूचीको	10	10	10
सूर्यका	10	10	10
सूर्यदेखि	10	10	10
सूर्यलाई	10	10	10
सेनाहरू	10	10	10
सेल	10	10	10
सोधे	10	10	10
स्थगित	10	10	10
स्थलका	10	10	10
स्थितिलाई	10	10	10
स्थिर	10	10	10
स्फूर्ति	10	10	10
स्व	10	10	9
स्वरको	10	10	9
स्वादिष्ट	10	10	10
हजुरले	10	10	10
हटाउनु	10	10	10
हत्याको	10	10	10
हलमा	10	10	10
हाँस	10	10	10
हाँसिल	10	10	10
हामीमा	10	10	10
हाललाई	10	10	10
हालैका	10	10	10
हिजोआज	10	10	10
हिसाबमा	10	10	10
हुँदाहुँदै	10	10	10
हुनका	10	10	10
हुनसक्ने	10	10	10
हेरे	10	10	10
हेर्नको	10	10	10
होम	10	10	10
१९२०	10	10	10
१९३२	10	10	10
१९५५	10	10	10
१९५६	10	10	10
१९८६	10	10	10
२०३४	10	10	10
३०००	10	10	10
५६	10	10	10
७९	10	10	10
८३	10	10	10
अख्तर	9	5	5
अगाथा	9	9	9
अग्रगामी	9	9	9
अङ्ग्रेजहरूको	9	9	9
अड्डाको	9	9	9
अदालतले	9	9	9
अदृश्य	9	9	9
अधिराज्य	9	9	9
अधीन	9	9	9
अधीनमा	9	9	9
अध्ययनको	9	9	9
अनन्त	9	9	9
अनमोल	9	9	9
अनिश्चित	9	9	9
अनुक्रममा	9	9	9
अनुगमन	9	9	9
अनुबन्धित	9	9	9
अनुभवको	9	9	9
अनुष्ठान	9	9	9
अनुहारको	9	9	9
अन्डर	9	9	9
अन्तरिक्षको	9	9	9
अन्यमा	9	9	9
अपनाउने	9	9	9
अपरेसन	9	9	9
अप्ठ्यारो	9	9	9
अप्सरा	9	9	9
अफगानिस्तानमाथि	9	9	9
अभिनेताको	9	9	9
अमरसिंह	9	9	9
अमरोहा	9	9	9
अमिताभको	9	9	9
अरुणाञ्चल	9	9	9
अर्थमन्त्री	9	9	9
अल्लाहको	9	9	9
अवगत	9	9	9
अवधारणालाई	9	9	9
असमर्थ	9	9	8
असाधारण	9	9	9
अहमदाबाद	9	9	9
अहिंसामा	9	9	9
अहिलेका	9	9	9
आँखाका	9	9	9
आँगन	9	9	9
आआफ्ना	9	9	9
आइएमएफको	9	9	9
आइतबारको	9	9	9
आइपुगे	9	9	8
आइपोड	9	9	9
आइरहेका	9	9	9
आइरहेको	9	9	9
आईएलओ	9	9	9
आकाशीय	9	9	8
आचार	9	9	9
आज्ञाअनुसार	9	9	9
आत्माको	9	9	9
आदित्य	9	9	9
आदिम	9	9	9
आधारविन्दुदेखि	9	9	9
आभास	9	9	9
आर	9	9	9
आर्ट्स	9	9	9
आर्थर	9	9	9
आवासीय	9	9	9
आसपासको	9	9	9
आसपासमा	9	9	9
इ	9	9	9
इन्जिनियरिङमा	9	9	9
इन्टरनेसनल	9	9	9
इन्द्रजात्राको	9	9	9
इन्द्रलाई	9	9	8
ईश्वरले	9	9	7
उचाई	9	9	9
उत्पादित	9	9	9
उनीलाई	9	9	9
उनीहरूमा	9	9	9
उप	9	9	9
उपरोक्त	9	9	9
उपसाला	9	9	9
उपासना	9	9	9
उसैले	9	9	9
उसो	9	9	9
उही	9	9	9
ऊर्जाको	9	9	9
एएनसी	9	9	9
एकसय	9	9	8
एकातर्फ	9	9	9
एन	9	9	9
एप्पलले	9	9	9
एमालेको	9	9	9
ओशो	9	9	9
कङ्ग्रेसका	9	9	9
कटौती	9	9	9
कडी	9	9	9
कपूर	9	9	9
कफीको	9	9	9
कमनवेल्थ	9	9	9
कमिक	9	9	9
कर्नाटक	9	9	9
कर्मको	9	9	9
कर्महरूको	9	9	9
कलकत्तामा	9	9	9
कल्पनाले	9	9	9
कसलाई	9	9	9
कसार	9	9	9
कहिलेकाहीँ	9	9	9
काँध	9	9	9
काँधमा	9	9	9
कागती	9	9	8
कागलाई	9	9	9
काट्ने	9	9	9
काफ्ले	9	9	9
कारक	9	9	9
कारगिल	9	9	9
कारोवार	9	9	8
कार्टर	9	9	9
कार्तिकमा	9	9	9
कार्यवाहक	9	9	9
कार्यालयले	9	9	9
कालभैरव	9	9	9
कालसर्पयोगको	9	9	9
कालीकोट	9	9	9
कालेश्वर	9	9	9
किनारालाई	9	9	9
किनेर	9	9	9
कैद	9	9	9
कोठामा	9	9	9
कोशिकाहरू	9	9	9
कोसेली	9	9	9
क्यासेट	9	9	9
क्रमैसँग	9	9	9
क्रियाकलापको	9	9	9
क्षेत्रहरूलाई	9	9	9
खानको	9	9	9
खानामा	9	9	9
खारिज	9	9	9
खाले	9	9	9
खोजिरहेको	9	9	9
खोलाले	9	9	8
गइरहेको	9	9	9
गजुर	9	9	9
गडबडी	9	9	9
गणनामा	9	9	9
गणेशको	9	9	9
गम्भीरतापूर्वक	9	9	8
गराउनको	9	9	9
गरिदिनुहुन	9	9	9
गर्छिन्	9	9	9
गर्नुपरेको	9	9	9
गर्नुभएकी	9	9	9
गहुँको	9	9	9
गाउँदा	9	9	9
गाउँबाट	9	9	9
गाउँलेहरूको	9	9	9
गाढा	9	9	9
गाविसबाट	9	9	9
गुम्बामा	9	9	9
गुरुले	9	9	9
गेट	9	9	9
गोमन	9	9	9
गोल्फर	9	9	9
गोवा	9	9	9
ग्याँस	9	9	8
ग्याँसको	9	9	9
ग्रहहरूका	9	9	8
ग्रामको	9	9	9
ग्रेट	9	9	9
घटनाले	9	9	9
घनिष्ठ	9	9	9
घाँसे	9	9	9
घिमिरेद्वारा	9	9	9
चट्टानको	9	9	9
चरममा	9	9	9
चलाउँदै	9	9	9
चलायमान	9	9	9
चामलको	9	9	9
चार्टमा	9	9	9
चाहिने	9	9	9
चित्त	9	9	9
चित्रित	9	9	9
चिनिन्छन्	9	9	8
चिनिया	9	9	9
चिन्न	9	9	9
चिल	9	9	9
चुनिए	9	9	9
चुनिएको	9	9	9
चुनिने	9	9	9
चूर्ण	9	9	9
चोटपटक	9	9	9
च्याउमा	9	9	9
च्याम्पियनसिप	9	9	9
छँदै	9	9	9
छर्केर	9	9	9
छलफलको	9	9	9
छवि	9	9	9
छाता	9	9	9
छापिएको	9	9	9
छारे	9	9	9
छिवाङ	9	9	9
छुट	9	9	9
छेउ	9	9	9
छोडी	9	9	9
छोड्नु	9	9	8
जगतपुर	9	9	9
जङ्गम	9	9	9
जनआन्दोलनका	9	9	9
जनवादी	9	8	8
जलाउने	9	9	9
जसद्वारा	9	9	9
जागिर	9	9	9
जाडोमा	9	9	9
जातक	9	9	9
जानुपर्थ्यो	9	9	8
जानुहोला	9	9	9
जान्ने	9	9	9
जितु	9	9	9
जितुवा	9	9	9
जितुवालाई	9	9	9
जिन्सी	9	9	9
जीन	9	9	9
जीवको	9	9	9
जुटाउने	9	9	9
जुलाईदेखि	9	9	9
जोगीको	9	9	9
जोडिन्छ	9	9	9
जोर्नी	9	9	9
झल्काउने	9	9	9
झ्याल	9	9	9
टका	9	9	9
टाइम्स	9	9	9
टि	9	9	9
टिभि	9	9	8
टिमको	9	9	9
टुप्पोमा	9	9	9
ट्राउट	9	9	9
ट्विटर	9	9	9
ठिक्क	9	9	9
डच	9	9	9
डन्डीको	9	9	8
डबलीमा	9	9	9
डाटाहरू	9	9	9
डेथ	9	9	9
डेबियन	9	9	9
डेविड	9	9	9
ढकालहरू	9	9	9
तटमा	9	9	9
तथ्यलाई	9	9	9
तनहुँको	9	9	9
तपस्यामा	9	9	9
तरवारको	9	9	8
तरिकाहरू	9	9	9
तरुण	9	9	9
तलब	9	9	9
तहसम्मको	9	9	8
तापक्रममा	9	9	9
ताप्लेजुङ	9	9	9
तारिखमा	9	9	9
तिहाई	9	9	8
तीमध्ये	9	9	9
तुल्यायो	9	9	9
तोडफोड	9	9	8
तोरीको	9	9	9
तौथली	9	9	9
त्यत्तिकै	9	9	9
त्रुटि	9	9	8
त्रुटी	9	9	9
थल	9	9	9
थलो	9	9	8
थारु	9	9	9
दबाव	9	9	9
दरबारको	9	9	9
दर्ताको	9	9	9
दशकसम्म	9	9	9
दायर	9	9	9
दालको	9	9	9
दाह्री	9	9	9
दिनुपर्दछ	9	9	9
दिनुपर्ने	9	9	9
दिनुभयो	9	9	9
दिन्छु	9	9	9
दिलायो	9	9	9
दिशाबाट	9	9	9
दुईटा	9	9	9
दुईपटक	9	9	9
दुनियाँमा	9	9	9
दुष्यन्तको	9	9	9
दूध	9	9	9
देवकोटाका	9	9	9
देवताका	9	9	9
देवराज	9	9	9
देवीका	9	9	9
देवीले	9	9	9
देशलाई	9	9	9
धर्मशालामा	9	9	9
धातुबाट	9	9	9
धेरैवटा	9	9	9
नकार्न	9	9	9
नगरेर	9	9	9
नगर्दा	9	9	9
नाग	9	9	9
नागको	9	9	9
नागरिकहरू	9	9	9
नाचिने	9	9	9
नाचिन्छ	9	9	9
नाटकले	9	9	9
नाप्न	9	9	9
नामलाई	9	9	9
नामाङ्कन	9	9	9
निक्की	9	9	9
निक्कै	9	9	9
निगाले	9	9	9
निजगढको	9	9	9
निदान	9	9	9
नियात्रा	9	9	9
निर्माणाधीन	9	9	9
निषेधात्मक	9	9	9
निस्किएको	9	9	9
निस्के	9	9	9
निहित	9	9	9
नेपालबाट	9	9	9
नैतिक	9	9	9
पङ्क्तिमा	9	9	9
पठाइयो	9	9	9
पति	9	9	9
पत्राचार	9	9	9
पदयात्रा	9	9	9
पदार्थहरू	9	9	9
पन्जाबको	9	9	9
परमेश्वर	9	7	7
परशुरामको	9	9	9
परिरहेको	9	9	9
परिश्रम	9	9	9
परिसरका	9	9	9
परिस्थितिले	9	9	9
परेन	9	9	9
पर्दामा	9	9	9
पर्वतीय	9	9	9
पर्वहरू	9	9	9
पश्चिमका	9	9	9
पहिलेकै	9	9	9
पाक्ने	9	9	9
पातलाई	9	9	9
पात्रमा	9	9	9
पारस	9	9	9
पारिश्रमिक	9	9	9
पार्श्व	9	9	9
पालो	9	9	9
पिछडिएको	9	9	9
पिण्डले	9	9	9
पिण्डहरूको	9	9	9
पिताले	9	9	9
पितृ	9	9	9
पुग्नु	9	9	9
पूजाआराधना	9	9	9
पूर्वमन्त्री	9	9	9
पृथक्	9	8	8
पेनाल्टी	9	9	9
पोको	9	9	9
पोखराको	9	9	9
पोखरामा	9	9	9
प्याउली	9	9	9
प्रकाशमान	9	9	9
प्रक्रियाका	9	9	8
प्रदेशहरूमा	9	9	9
प्रबन्धकको	9	9	9
प्रयासमा	9	9	9
प्रवासी	9	9	9
प्रशंसनीय	9	9	9
प्रशासकहरूले	9	9	9
प्रसिद्धि	9	9	9
प्रस्तुति	9	9	9
प्रहरीको	9	9	9
प्राधिकरणद्वारा	9	9	9
प्रोफेसर	9	9	9
फिल्डमा	9	9	9
फिल्मफेयर	9	9	9
फिस	9	9	9
फैलन	9	9	9
फोर्समा	9	9	9
फोहोर	9	9	9
फ्रान्सका	9	9	9
फ्रेन्च	9	9	9
बघिनीले	9	9	9
बजारबाट	9	9	9
बढाएर	9	9	9
बढिरहेको	9	9	9
बताउनुभयो	9	9	9
बताएका	9	9	9
बनाइन्थ्यो	9	9	9
बन्दुक	9	9	9
बन्धु	9	9	9
बलभद्र	9	9	9
बलवान्	9	9	9
बलिदान	9	9	9
बल्ल	9	8	8
बसन्तपुर	9	9	9
बहन	9	9	9
बहुमूल्य	9	9	9
बाटोबाट	9	9	9
बालुवा	9	9	9
बाल्टिक	9	9	9
बिजनेस	9	9	9
बिताउन	9	9	9
बिताउनुभयो	9	9	9
बिताउने	9	9	9
बियर	9	9	9
बिर्सिदेऊ	9	9	9
बीज	9	9	9
बुझेका	9	9	9
बुट्यान	9	9	9
बुधबार	9	9	9
बेरोजगार	9	9	9
बैङ्कको	9	9	9
बैठक	9	9	9
ब्यारिमोरले	9	9	9
ब्राह्मणको	9	9	9
ब्लेन	9	9	9
भएता	9	9	9
भएरै	9	9	9
भक्तजन	9	9	9
भक्तजनहरूले	9	9	9
भण्डारण	9	9	9
भयौ	9	9	8
भर	9	9	9
भीमसेन	9	9	9
भुटानी	9	9	9
भुटेर	9	9	9
भूक्षयको	9	9	9
भूभागलाई	9	9	9
भेटले	9	9	9
भेटे	9	9	9
भैरवलाई	9	9	9
भैसकेका	9	9	9
भ्याकुर	9	9	9
मटरको	9	9	9
मण्डलमा	9	9	9
मतदानको	9	9	9
मतपत्र	9	9	9
मदिरा	9	9	9
मध्यकालीन	9	9	9
मध्यको	9	9	9
मनलाई	9	9	9
मनाउँछन्	9	9	9
मनाङ	9	9	9
मन्त्रालयमा	9	9	8
मरेका	9	9	9
मसलाको	9	9	9
मस्जिद	9	9	8
मस्तिष्क	9	9	9
महामाया	9	9	9
महिलाहरूलाई	9	9	9
माइ	9	9	9
माइल	9	9	9
माझ	9	9	9
मातहतमा	9	9	9
मात्रको	9	9	9
मात्राको	9	9	9
मानार्थ	9	9	9
मानिसहरूमा	9	9	9
मान्यताअनुसार	9	9	9
मारियो	9	9	9
मार्स	9	9	9
मिलाइएको	9	9	9
मिल्न	9	9	9
मिश्र	9	9	9
मुटु	9	9	9
मुटुको	9	9	9
मृत्युसम्म	9	9	9
मेटाउनुपर्ने	9	9	9
मेन	9	9	9
मेन्जिस	9	9	9
मेलमिलाप	9	9	9
मेलाको	9	9	9
मैथुन	9	9	9
मैनालीको	9	9	9
मोटामोटी	9	9	9
मोर्चा	9	9	9
यतिखेर	9	9	9
यमुनाको	9	9	9
यश	9	9	9
यससँग	9	9	9
यसैमा	9	9	9
यहीँ	9	9	9
यात्रीद्वारा	9	9	9
यान	9	9	9
युजर	9	9	9
युवराज	9	9	9
योगको	9	9	9
रक	9	9	9
रङ्गीन	9	9	9
रबिन	9	9	9
रहनसहन	9	9	9
रहन्थ्यो	9	9	9
राखिदिएका	9	9	9
राख्नुहोस्	9	9	9
राजतन्त्रको	9	9	9
राजनीतिबाट	9	9	9
राजवंशी	9	9	9
राजाहरूलाई	9	9	9
राजी	9	9	9
राणाकालमा	9	9	9
रामपुर	9	9	9
राहुलले	9	9	9
रिलिज	9	9	9
रिसर्च	9	9	9
रुसी	9	9	9
रेखाहरू	9	9	9
रेग्मीको	9	9	9
रोगबाट	9	9	9
रोगहरू	9	9	9
लक्षणहरू	9	9	9
लगाउँदै	9	9	9
लगाव	9	8	8
लग्नमा	9	9	9
लडाकु	9	9	9
लड्ने	9	9	9
लाखको	9	9	9
लाग्दो	9	9	9
लाग्नुभएकी	9	9	9
लिएपछि	9	9	9
लिङ्ग	9	9	9
लिच्छवि	9	9	9
लेक	9	9	9
लेन	9	9	9
लेफ्टिनेन्ट	9	9	9
लोकसभा	9	9	9
लौरो	9	9	9
वंशावली	9	9	9
वचन	9	9	9
वडामा	9	9	9
वरिपरिका	9	9	9
वरिपरिको	9	9	9
वर्गलाई	9	9	9
वर्गाकार	9	9	9
वर्गीय	9	9	9
वाचन	9	9	9
वाचा	9	9	9
वाणी	9	9	9
वार	9	9	9
वास्ता	9	9	9
विकलद्वारा	9	9	9
विगतमा	9	9	9
विघटन	9	9	9
विचारको	9	9	9
विचारहरूलाई	9	9	9
विचित्र	9	9	9
विजयको	9	9	9
वितरणको	9	9	9
विधिमा	9	9	9
विधेयकमा	9	9	9
विनम्र	9	9	9
विराजमान	9	9	9
विश्वयुद्धको	9	9	9
विश्वविद्यालयहरू	9	9	9
विषयवस्तुको	9	9	9
विष्णुले	9	9	9
वेतन	9	9	9
व्यक्तिहरूका	9	9	9
व्यवस्थालाई	9	9	9
शकुन्तला	9	9	9
शक्तिहरू	9	9	9
शरीरका	9	9	9
शाब्दिक	9	9	9
शालिग्राममा	9	9	9
शासकको	9	9	9
शासित	9	9	9
शाहद्वारा	9	9	9
शिल्प	9	9	9
शुक्रको	9	9	9
शेरचन	9	9	9
शेर्पाले	9	9	9
संविधानसभा	9	9	9
संविधानसभाको	9	9	9
सकिनेछ	9	9	9
सक्छौं	9	9	9
सक्तैन	9	9	9
सङ्गम	9	9	9
सङ्गीतमा	9	9	9
सङ्घर्षले	9	9	9
सङ्घले	9	9	9
सङ्लग्न	9	9	8
सजिलोको	9	9	9
सञ्चालनमा	9	9	9
सत्रमा	9	9	9
सफारी	9	9	9
सभाको	9	9	9
समयमै	9	9	9
समस्याहरूको	9	9	9
समस्याहरूमा	9	9	9
समाजसेवा	9	9	9
समाजसेवीको	9	9	9
समाधि	9	9	9
सम्प्रदायका	9	9	9
सम्भवत	9	9	9
सम्भार	9	9	9
सम्वत्	9	9	9
सरकारहरूले	9	9	9
सरुवा	9	9	9
सर्पको	9	9	9
सर्वोत्तम	9	9	9
सवारी	9	9	9
सस्तो	9	9	9
सहजता	9	9	9
सहि	9	9	9
साँचो	9	9	9
साइत	9	9	9
साक्षात्कार	9	9	9
साक्षी	9	9	9
साथीहरूसँग	9	9	9
साबरमती	9	9	9
सामु	9	9	9
सिंहदरवार	9	9	9
सिद्धेश्वर	9	9	8
सिन्धु	9	9	9
सिमानाको	9	9	8
सिमेन्ट	9	9	9
सिरहा	9	9	9
सुखी	9	9	9
सुगा	9	9	9
सुपुत्र	9	9	9
सुमधुर	9	9	9
सुरक्षाकर्मीले	9	9	9
सुल्तान	9	9	9
सुविधाका	9	9	9
सुहाउँदो	9	9	9
सूचीकृत	9	9	9
स्थानहरूको	9	9	9
स्थितिको	9	9	9
स्थितिबाट	9	9	9
स्पेनी	9	9	9
स्रष्टा	9	9	9
स्वभावका	9	9	9
हजारौं	9	9	9
हराएर	9	9	9
हरियाली	9	9	9
हाँस्य	9	9	9
हानेको	9	9	9
हाराहारीमा	9	9	9
हिन्दीमा	9	9	9
हुत्याउँदा	9	9	9
हुदै	9	9	9
हुनुमा	9	9	9
हृदयचन्द्रसिंह	9	9	9
हेरिरहेका	9	9	9
होलान्	9	9	9
हौँ	9	9	9
०९	9	9	9
१००३	9	9	9
१८५०	9	9	9
१९१७	9	9	9
१९३१	9	9	9
१९३९	9	9	9
१९४४	9	9	9
१९७८	9	9	9
२०१९	9	9	9
२०३८	9	9	9
३२४	9	9	9
५७	9	9	9
६६	9	9	9
७५०	9	9	9
८६	9	9	9
अकबरको	8	8	8
अक्षता	8	8	8
अघिल्ला	8	8	8
अङ्ग्रेजीको	8	8	8
अड्डामा	8	8	8
अत्तर	8	8	8
अदालत	8	8	8
अद्वितीय	8	8	8
अद्वैत	8	8	8
अधिकारमा	8	8	8
अधिकारीको	8	8	8
अधिकृत	8	8	8
अध्यक्षमा	8	8	8
अनुसारको	8	8	8
अन्तरमा	8	8	8
अन्नबाली	8	8	8
अपनाउँदा	8	8	8
अपनाएका	8	8	8
अपराधको	8	8	8
अब्राहम	8	8	8
अभिनेताका	8	8	8
अभियोगमा	8	8	8
अभिलक्षण	8	8	8
अमरपुर	8	8	8
अमान्य	8	8	8
अमेरिकासँग	8	8	8
अरबको	8	8	8
अर्जुनको	8	8	8
अर्जुनलाई	8	8	8
अर्जुनले	8	8	8
अर्थशास्त्रमा	8	8	8
अर्ध	8	8	8
अलिअलि	8	8	8
अवधिका	8	8	8
अवार्ड	8	8	8
असारमा	8	8	8
आएन	8	8	8
आएमा	8	8	8
आकर्षणको	8	8	8
आगमनको	8	8	8
आचार्यद्वारा	8	8	8
आत्मपरक	8	8	7
आत्मपरकता	8	8	8
आदी	8	8	7
आनुवंशिकता	8	8	8
आप्रवासी	8	8	8
आफूभन्दा	8	8	8
आफूहरूलाई	8	8	8
आमन्त्रित	8	8	8
आयल	8	8	7
आयामेली	8	8	8
आयुमा	8	8	8
आलङ्कारिक	8	8	8
आवतजावत	8	8	8
आवागमन	8	8	8
आश्रितहरूलाई	8	8	8
आहारा	8	8	8
आह्वान	8	8	8
इगल	8	8	8
इटाली	8	8	8
इलामको	8	8	8
इलेक्ट्रोनिक	8	8	8
उजाड	8	8	8
उठाउनुभयो	8	8	8
उठेका	8	8	8
उठेको	8	8	8
उठ्यो	8	8	8
उडानहरू	8	8	8
उति	8	8	8
उतिकै	8	8	8
उत्तरतिर	8	8	8
उत्तरवाहिनी	8	8	8
उत्तरोत्तर	8	8	8
उत्पत्तिको	8	8	8
उत्परिवर्तनको	8	8	8
उत्पीडित	8	8	8
उत्रियो	8	8	8
उत्रे	8	8	8
उधारो	8	8	8
उन्मुख	8	8	8
उपजाति	8	8	8
उपधारा	8	8	8
उपनिषद्ले	8	8	8
उपभोक्ता	8	8	8
उपेक्षा	8	8	8
उमालेर	8	8	8
एकमत	8	8	8
एकीकरणको	8	8	8
एकेन्द्रजी	8	8	8
एक्सन	8	8	8
एमालेका	8	8	8
एरिया	8	8	8
एसएस	8	8	8
एसियाकै	8	8	8
ओखर	8	8	8
ओबामाको	8	8	8
ओभरहरूका	8	8	8
ओशोले	8	8	8
कङ्ग्रेसले	8	8	8
कटुस	8	8	8
कण्ठ	8	8	8
कपडाको	8	8	8
कमाइ	8	8	8
कम्मर	8	8	8
करोडौँ	8	8	8
कर्ता	8	8	8
कर्थली	8	8	8
कर्नाटकको	8	8	8
कलकत्ता	8	8	8
कलाकारका	8	8	8
कलामलाई	8	8	8
कल्याणी	8	8	8
कवितामा	8	8	8
कविताराम	8	8	8
कसैकसैले	8	8	8
कहिलेकाहिँ	8	8	8
काँचै	8	8	8
काँचोमा	8	8	8
काटिदिए	8	8	8
काटी	8	8	7
काण्डका	8	8	8
काभ्रेको	8	8	8
कार्यविनायक	8	8	8
कालिदासको	8	8	8
कालीको	8	8	8
काष्ठ	8	8	8
किन्ड्रेक	8	8	8
किरातीहरू	8	8	8
कुँदिएका	8	8	8
कुण्डलीमा	8	8	8
कुनामा	8	8	8
कुपोषित	8	8	7
कुमाउँ	8	8	8
कुमारले	8	8	8
कुराकानी	8	8	7
कूटनीतिक	8	8	8
कृतिलाई	8	8	8
कृपा	8	8	8
कृष्णपक्ष	8	8	8
केपी	8	8	8
केशवप्रसाद	8	8	8
कैदीहरूलाई	8	8	8
कोइली	8	8	8
कोटीहोम	8	8	8
कोदोको	8	8	8
कोपिला	8	8	8
कोलकाता	8	8	8
कोलोनी	8	8	8
क्याच	8	8	8
क्रिजमा	8	8	8
क्रियामा	8	8	8
क्रियाहरू	8	8	7
क्रोधित	8	8	8
क्लबहरूको	8	8	8
क्षत्रियहरूको	8	8	8
क्षेत्रहरूका	8	8	8
खबरले	8	8	8
खरायो	8	8	8
खरिद	8	8	8
खर्क	8	8	8
खाई	8	8	8
खाए	8	8	8
खाल्डो	8	8	8
खिच्न	8	8	8
खुलाएर	8	8	8
खुलेर	8	8	8
खुवाउन	8	8	8
खुशी	8	8	8
खेलमैदानको	8	8	8
खेल्दै	8	8	8
ख्याल	8	8	8
गण	8	8	8
गणतन्त्रको	8	8	8
गणितको	8	8	8
गफ	8	8	8
गराएपछि	8	8	8
गरिँदै	8	8	8
गरिदिनु	8	8	8
गरिदिने	8	8	8
गरिराखेको	8	8	8
गरिसक्नु	8	8	8
गर्छौ	8	8	8
गर्नबाट	8	8	8
गर्नसक्ने	8	8	8
गर्नुपर्यो	8	8	7
गर्नुपर्ला	8	8	8
गर्नुस्	8	8	8
गर्नेलाई	8	8	8
गर्भबाट	8	8	8
गाईले	8	8	8
गाएको	8	8	8
गुणसूत्रहरूमा	8	8	8
गुरुको	8	8	8
गृहमन्त्री	8	8	8
गोत्रीय	8	8	8
गोपालराज	8	8	8
गोरखापत्रको	8	8	8
गोरेटो	8	8	8
गोर्खालीहरूलाई	8	8	8
ग्यारेन्टी	8	8	8
ग्रहका	8	8	8
ग्राहम	8	8	8
घटकर्पर	8	8	8
घडी	8	8	8
घले	8	8	8
घाइतेलाई	8	8	8
घिमिरेको	8	8	7
घुमाउरो	8	8	8
घुम्दै	8	8	8
घेरामा	8	8	8
घोडाको	8	8	8
चट्टानमा	8	8	8
चम्किलो	8	8	8
चरणका	8	8	8
चराका	8	8	8
चराचुरुङ्गी	8	8	8
चराहरू	8	8	8
चर्च	8	8	8
चल्दछ	8	8	8
चाँदी	8	8	8
चालक	8	8	8
चावला	8	8	8
चिजहरू	8	8	7
चितामा	8	8	8
चिर्दै	8	8	8
चिस्यान	8	8	8
चुच्चो	8	8	8
चुनावको	8	8	8
चुनियो	8	8	8
चेष्टा	8	8	8
चैत्रमा	8	8	8
चैनपुर	8	8	8
चोलो	8	8	8
चौँरी	8	8	7
च्याम्पियन्स	8	8	8
छक्कै	8	8	7
छड्के	8	8	8
छन्त्याल	8	8	8
छलफलमा	8	8	8
छातीको	8	8	8
छात्रावास	8	8	8
छायाँ	8	6	6
छालाको	8	8	8
छुट्याएर	8	8	8
छेउको	8	8	8
छेउछाउ	8	8	8
छोराहरूको	8	8	8
जगतमा	8	8	8
जगदीश	8	8	8
जगन्नाथ	8	8	8
जनआन्दोलनको	8	8	8
जननी	8	8	8
जनमोर्चा	8	8	8
जनयुद्धको	8	8	8
जनवरीमा	8	8	7
जनाउने	8	8	8
जनाए	8	8	8
जनावरहरू	8	8	8
जन्डिस	8	8	8
जन्मदिनको	8	8	7
जन्मभन्दा	8	8	8
जन्माइन्	8	8	8
जमानामा	8	8	8
जमेर	8	8	8
जयपुर	8	8	8
जराको	8	8	8
जलन	8	8	8
जलस्रोत	8	8	8
जस्ताको	8	8	8
जहाजको	8	8	7
जागरको	8	8	7
जागरण	8	8	8
जानुभयो	8	8	8
जापानका	8	8	8
जाहेर	8	8	8
जिल्लाभित्र	8	8	8
जिल्लाले	8	8	8
जिल्लासँग	8	8	8
जीवराज	8	8	8
जीवहरूका	8	8	8
जुरेली	8	8	8
जुल	8	8	7
जेनिफर	8	8	8
जोडसँग	8	8	8
जोड्न	8	8	8
जौ	8	8	8
ज्ञानेन्द्रको	8	8	7
ज्यामितिको	8	8	8
ज्योतिषमा	8	8	7
ज्योतिषशास्त्रमा	8	8	8
झन	8	8	8
झाँगड	8	8	8
झुस	8	8	8
झुसे	8	6	6
झैं	8	8	8
झ्याम्टा	8	8	8
टक	8	8	8
टप	8	8	8
टाँसिन्छ	8	8	8
टाइप	8	8	8
टाकुरामा	8	8	8
टिट्वान्टी	8	8	8
टिममा	8	8	7
टुङ्गियो	8	8	8
टेकबहादुर	8	8	8
टेकेर	8	8	8
टेलिकमले	8	8	8
टेवा	8	8	8
टोक्छ	8	8	8
ठाउँदेखि	8	8	8
ठानी	8	8	8
डगलस	8	8	8
डन्डीफोर	8	8	8
डम्बा	8	8	8
डल्फिनलाई	8	8	8
डल्लो	8	8	8
डाङ्ग्रे	8	8	8
डालेचुक	8	8	8
डिप्रेसन	8	8	8
डिलमा	8	8	8
डुब्न	8	8	8
डोरी	8	8	8
ढुकुटीमा	8	8	8
ढुसीले	8	8	8
